iter	Passed	Remaining
731	7777	2847
732	7783	2835
733	7790	2823
734	7796	2811
735	7802	2798
736	7808	2786
737	7815	2774
738	7821	2762
739	7826	2749
740	7833	2738
741	7841	2726
742	7850	2715
743	7856	2703
744	7862	2691
745	7869	2679
746	7875	2667
747	7881	2655
748	7887	2643
749	7893	2631
750	7900	2619
751	7906	2607
752	7913	2595
753	7920	2584
754	7926	2572
755	7933	2560
756	7939	2548
757	7945	2536
758	7951	2524
759	7957	2512
760	7963	2501
761	7969	2489
762	7976	2477
763	7982	2465
764	7989	2454
765	7995	2442
766	8001	2430
767	8007	2418
768	8013	2407
769	8019	2395
770	8025	2383
771	8031	2372
772	8038	2360
773	8044	2348
774	8050	2337
775	8056	2325
776	8064	2314
777	8070	2302
778	8076	2291
779	8082	2279
780	8088	2268
781	8094	2256
782	8100	2244
783	8106	2233
784	8112	2221
785	8118	2210
786	8125	2199
787	8132	2187
788	8138	2176
789	8144	2165
790	8150	2153
791	8157	2142
792	8163	2130
793	8169	2119
794	8175	2108
795	8181	2096
796	8188	2085
797	8194	2074
798	8200	2062
799	8205	2051
800	8212	2040
801	8217	2028
802	8224	2017
803	8230	2006
804	8236	1995
805	8242	1984
806	8249	1972
807	8255	1961
808	8261	1950
809	8267	1939
810	8273	1928
811	8279	1917
812	8286	1905
813	8292	1894
814	8298	1883
815	8304	1872
816	8310	1861
817	8316	1850
818	8324	1839
819	8331	1828
820	8337	1817
821	8344	1807
822	8350	1795
823	8356	1784
824	8362	1773
825	8368	1762
826	8374	1751
827	8381	1741
828	8387	1730
829	8394	1719
830	8400	1708
831	8406	1697
832	8412	1686
833	8418	1675
834	8424	1664
835	8431	1653
836	8437	1643
837	8444	1632
838	8450	1621
839	8456	1610
840	8462	1599
841	8468	1589
842	8474	1578
843	8481	1567
844	8487	1556
845	8493	1546
846	8498	1535
847	8505	1524
848	8511	1513
849	8517	1503
850	8523	1492
851	8530	1481
852	8535	1471
853	8542	1460
854	8550	1450
855	8557	1439
856	8564	1429
857	8570	1418
858	8577	1407
859	8583	1397
860	8589	1386
861	8595	1376
862	8601	1365
863	8607	1354
864	8614	1344
865	8620	1333
866	8626	1323
867	8632	1312
868	8638	1302
869	8645	1291
870	8651	1281
871	8657	1270
872	8663	1260
873	8669	1249
874	8676	1239
875	8682	1229
876	8689	1218
877	8695	1208
878	8701	1197
879	8707	1187
880	8714	1177
881	8720	1166
882	8727	1156
883	8733	1145
884	8739	1135
885	8745	1125
886	8751	1114
887	8758	1104
888	8764	1094
889	8770	1083
890	8776	1073
891	8782	1063
892	8788	1053
893	8794	1042
894	8800	1032
895	8806	1022
896	8813	1012
897	8821	1002
898	8829	991
899	8835	981
900	8841	971
901	8848	961
902	8854	951
903	8860	940
904	8866	930
905	8872	920
906	8878	910
907	8885	900
908	8891	890
909	8897	880
910	8904	869
911	8910	859
